trueMean,trueVar,numberOfDatasets,meanExpectation,varExpectation,meanSD,varSD,meanAbsError,varAbsError,meanPercentError,varPercentError,combinedPercentError,meanAbsErrorDatasetSD,varAbsErrorDatasetSD,meanPercentErrorDatasetSD,varPercentErrorDatasetSD,combinedPercentErrorDatasetSD
1.605263157894736992e+01,3.000000000000000000e+00,1.000000000000000000e+01,1.684694926804581527e+01,2.819764182919108020e+00,1.289675700089431221e+00,6.585284250570957454e-01,1.259532606824487644e+00,3.735042037389395553e-01,7.846268698250905338e+00,1.245014012463132147e+01,1.014820441144111030e+01,8.408061061017568782e-01,2.365115707222324448e-01,5.237808529814222958e+00,7.883719024074415493e+00,4.966724838708565848e+00
1.605263157894736992e+01,4.000000000000000000e+00,1.000000000000000000e+01,1.676782653556524494e+01,4.104087263560713517e+00,1.086436811032854388e+00,8.609933887940062203e-01,1.072145271489641782e+00,3.716730475423052349e-01,6.678937756820720217e+00,9.291826188557632094e+00,7.985381972689173935e+00,7.081497472324903564e-01,4.236893577728857441e-01,4.411424654890923058e+00,1.059223394432214427e+01,6.964243504548346841e+00
1.605263157894736992e+01,5.000000000000000000e+00,1.000000000000000000e+01,1.604932593031274024e+01,4.779224197768891180e+00,9.736565813154701710e-01,8.209075869920671176e-01,5.801842031547114198e-01,5.908494591987649702e-01,3.614262249160496765e+00,1.181698918397530029e+01,7.715625716567896752e+00,3.674924128724562089e-01,3.294236632073219706e-01,2.289296998221857837e+00,6.588473264146439412e+00,3.499181021027458538e+00
1.605263157894736992e+01,6.000000000000000000e+00,1.000000000000000000e+01,1.604195526827710694e+01,5.002230591689543537e+00,8.891110918235838323e-01,8.516459264740688928e-01,5.990970153099608453e-01,9.977694083104571288e-01,3.732079767504673296e+00,1.662949013850762014e+01,1.018078495300614783e+01,5.011879994550826334e-01,3.656419533069623085e-01,3.122154750703793002e+00,6.094032555116037919e+00,3.386730100528222653e+00
1.973684210526315752e+01,1.000000000000000000e+00,1.000000000000000000e+01,2.076277574243661661e+01,1.065620431945021540e+00,2.229614817568768892e+00,8.248663711953926891e-02,1.658936126900880215e+00,6.562043194502173438e-02,8.405276376297793561e+00,6.562043194502176213e+00,7.483659785399984443e+00,1.754709220156236205e+00,2.000770938156964662e-01,8.890526715458262785e+00,2.000770938156965073e+01,9.848676957785981401e+00
1.973684210526315752e+01,2.000000000000000000e+00,1.000000000000000000e+01,2.004411762512417283e+01,2.255846918015894875e+00,1.565144984748581658e+00,3.966753289972883012e-01,9.781038561635415629e-01,3.145229315426354977e-01,4.955726204561943682e+00,1.572614657713177522e+01,1.034093639084685989e+01,6.856228667331055737e-01,4.247112910409326925e-01,3.473822524781068122e+00,2.123556455204663251e+01,1.057945217016740891e+01
1.973684210526315752e+01,3.000000000000000000e+00,1.000000000000000000e+01,1.981675354915287812e+01,2.969498855711010243e+00,1.369794783214554501e+00,6.164408836164402272e-01,1.150247501454628507e+00,6.672896109206165605e-01,5.827920674036784376e+00,2.224298703068721395e+01,1.403545385236200183e+01,4.816380970046861831e-01,3.842767075079734918e-01,2.440299691490410261e+00,1.280922358359911684e+01,6.855351560130570121e+00
1.973684210526315752e+01,4.000000000000000000e+00,1.000000000000000000e+01,1.974980150052639516e+01,4.436262344201770347e+00,1.216959684997998004e+00,8.472958926876211772e-01,8.874944084144456014e-01,6.288092733505533660e-01,4.496638335966524735e+00,1.572023183376383315e+01,1.010843508486517806e+01,5.286934117204350470e-01,3.299603166602154691e-01,2.678713286050204090e+00,8.249007916505386007e+00,4.766574756628010334e+00
1.973684210526315752e+01,5.000000000000000000e+00,1.000000000000000000e+01,2.014103200750654921e+01,4.883159844844090713e+00,1.210499509789042971e+00,7.437599567942050349e-01,1.006505855772068969e+00,6.030395193108525342e-01,5.099629669245149266e+00,1.206079038621705202e+01,8.580210027731100197e+00,6.121530517153398465e-01,4.216290419931225109e-01,3.101575462024389385e+00,8.432580839862449551e+00,4.526989082999726577e+00
1.973684210526315752e+01,6.000000000000000000e+00,1.000000000000000000e+01,1.927346175934316364e+01,5.157470899685436372e+00,1.088315412573219287e+00,7.198766263892888428e-01,9.830565647956891473e-01,8.425291003145641833e-01,4.980819928298158672e+00,1.404215167190940328e+01,9.511485800103780974e+00,7.162688668444977536e-01,6.177567595276234336e-01,3.629095592012122395e+00,1.029594599212705930e+01,5.590547117188287451e+00
