Ntrials,mExpectation,mSD,mError,rExpectation,rSD,rError
1.450000000000000000e+02,4.384072537414895976e+01,2.154658790823903658e+00,3.840725374148959759e+00,3.441095992758627542e+00,5.374762235677811306e-01,4.410959927586275420e-01
1.590000000000000000e+02,4.278914667831721630e+01,2.000144205942626652e+00,2.789146678317216299e+00,3.489957546092266494e+00,5.400446938440053302e-01,4.899575460922664938e-01
1.740000000000000000e+02,4.237305040238970832e+01,1.935037748874447017e+00,2.373050402389708324e+00,3.298283837986210720e+00,4.714071467978499519e-01,2.982838379862107203e-01
1.910000000000000000e+02,4.209578223084619708e+01,1.810636576763359651e+00,2.095782230846197081e+00,3.400501399883942621e+00,5.058359017975344596e-01,4.005013998839426215e-01
2.100000000000000000e+02,4.158745422807788827e+01,1.737700175165903804e+00,1.587454228077888274e+00,3.238660073325016597e+00,4.314258873888660029e-01,2.386600733250165973e-01
2.300000000000000000e+02,4.119197839350938040e+01,1.691913893670064395e+00,1.191978393509380396e+00,3.026792570486310563e+00,1.825578081552008125e-01,2.679257048631056293e-02
2.520000000000000000e+02,4.118193964846071253e+01,1.621082729806743394e+00,1.181939648460712533e+00,2.996195524566656943e+00,1.362312088745365191e-01,3.804475433343057489e-03
2.770000000000000000e+02,4.074662696738455026e+01,1.557158913307633341e+00,7.466269673845502552e-01,2.975335656332267487e+00,1.652090002658959389e-01,2.466434366773251341e-02
3.030000000000000000e+02,4.115152613111522584e+01,1.478810317269621422e+00,1.151526131115225837e+00,2.962184483980293326e+00,1.931710972866291509e-01,3.781551601970667420e-02
3.330000000000000000e+02,4.082341302428731922e+01,1.414926081182744433e+00,8.234130242873192174e-01,2.990886606311805362e+00,1.004232186435622814e-01,9.113393688194637576e-03
3.650000000000000000e+02,4.075185616906421160e+01,1.362209610531956328e+00,7.518561690642115991e-01,2.995441875694283329e+00,7.229944042606741006e-02,4.558124305716670932e-03
4.000000000000000000e+02,4.079040468383020368e+01,1.299558879960278635e+00,7.904046838302036804e-01,2.999203023886370278e+00,3.858760674395184803e-02,7.969761136297215387e-04
